name,email,phone,address,status,tags
Công ty An Phát,anphat@example.com,"=""0900000001""","123 Nguyễn Trãi, Q1, TP.HCM",lead,retail;priority
Cửa hàng Beta Mart,betamart@example.com,"=""0900000002""","45 Lê Lợi, Q1, TP.HCM",active,food;priority
Giải pháp Gamma,gamma.sol@example.com,"=""0900000003""","89 Phan Xích Long, Phú Nhuận, TP.HCM",lead,tech;saas
Truyền thông Delta,delta.media@example.com,"=""0900000004""","12 Trần Hưng Đạo, Q5, TP.HCM",inactive,media
Dược phẩm Epsilon,epsilon.pharma@example.com,"=""0900000005""","56 Hai Bà Trưng, Q1, TP.HCM",lead,healthcare;priority
Logistics Zeta,zeta.logi@example.com,"=""0900000006""","101 Điện Biên Phủ, Q3, TP.HCM",active,logistics;b2b
Tài chính Eta,eta.finance@example.com,"=""0900000007""","78 Cách Mạng Tháng 8, Q3, TP.HCM",lead,finance
Du lịch Theta,theta.travel@example.com,"=""0900000008""","34 Nguyễn Thị Minh Khai, Q1, TP.HCM",active,travel
Thời trang Iota,iota.fashion@example.com,"=""0900000009""","210 Võ Thị Sáu, Q3, TP.HCM",lead,fashion;retail
Nông sản Kappa,kappa.green@example.com,"=""0900000010""","321 Trường Sa, Phú Nhuận, TP.HCM",inactive,eco
Ô tô Lambda,lambda.auto@example.com,"=""0900000011""","15 Lý Thường Kiệt, Q10, TP.HCM",lead,automotive
Năng lượng Mu,mu.energy@example.com,"=""0900000012""","67 Nguyễn Văn Trỗi, Phú Nhuận, TP.HCM",active,energy;b2b
Xây dựng Nu,nu.build@example.com,"=""0900000013""","88 Lê Duẩn, Q1, TP.HCM",lead,construction
Nội thất Xi,xi.decor@example.com,"=""0900000014""","23 Hoàng Sa, Phú Nhuận, TP.HCM",active,interior
Thú cưng Omicron,omicron.pets@example.com,"=""0900000015""","145 Lê Lai, Q1, TP.HCM",lead,pets;retail
Sách Pi,pi.books@example.com,"=""0900000016""","45 Đinh Tiên Hoàng, Q1, TP.HCM",active,books;retail
Cà phê Rho,rho.coffee@example.com,"=""0900000017""","9 Nguyễn Bỉnh Khiêm, Q1, TP.HCM",lead,coffee;fnb
Sữa Sigma,sigma.milk@example.com,"=""0900000018""","456 Võ Văn Kiệt, Q5, TP.HCM",inactive,dairy
Thép Tau,tau.steel@example.com,"=""0900000019""","25 Nguyễn Hữu Cảnh, Bình Thạnh, TP.HCM",lead,steel;b2b
In ấn Upsilon,upsilon.print@example.com,"=""0900000020""","12 Cách Mạng Tháng 8, Q1, TP.HCM",active,printing
Công nghệ Phi,phi.labs@example.com,"=""0900000021""","78 Pasteur, Q1, TP.HCM",lead,biotech
Năng lượng mặt trời Chi,chi.solar@example.com,"=""0900000022""","301 Hai Bà Trưng, Q3, TP.HCM",active,renewable
Làm vườn Psi,psi.garden@example.com,"=""0900000023""","17 Phan Đăng Lưu, Phú Nhuận, TP.HCM",lead,gardening
Thực phẩm Omega,omega.foods@example.com,"=""0900000024""","65 Trần Quốc Toản, Q3, TP.HCM",active,fnb
Trang trí Alpha,alpha.decor@example.com,"=""0900000025""","19 Nguyễn Thị Minh Khai, Q1, TP.HCM",lead,interior
Y tế Bravo,bravo.health@example.com,"=""0900000026""","220 Điện Biên Phủ, Q3, TP.HCM",active,healthcare
Agency Charlie,charlie.agency@example.com,"=""0900000027""","58 Hoàng Diệu, Q4, TP.HCM",lead,marketing
Du lịch Delta,delta.travel@example.com,"=""0900000028""","12 Trần Cao Vân, Q1, TP.HCM",active,travel
Cà phê Echo,echo.coffee@example.com,"=""0900000029""","77 Mạc Đĩnh Chi, Q1, TP.HCM",lead,coffee;fnb
Công nghệ Foxtrot,foxtrot.tech@example.com,"=""0900000030""","103 Võ Thị Sáu, Q3, TP.HCM",active,tech;saas
Bán lẻ Golf,golf.retail@example.com,"=""0900000031""","55 Quang Trung, Gò Vấp, TP.HCM",lead,retail
Truyền thông Hotel,hotel.media@example.com,"=""0900000032""","234 Nguyễn Trãi, Q1, TP.HCM",inactive,media
Thực phẩm India,india.fresh@example.com,"=""0900000033""","12 Nguyễn Văn Đậu, Bình Thạnh, TP.HCM",lead,grocery
Ô tô Juliet,juliet.auto@example.com,"=""0900000034""","98 Huỳnh Văn Bánh, Phú Nhuận, TP.HCM",active,automotive
Xe đạp Kilo,kilo.bike@example.com,"=""0900000035""","145 Nguyễn Thị Minh Khai, Q1, TP.HCM",lead,transport
Linh kiện Lima,lima.parts@example.com,"=""0900000036""","33 Trương Định, Q1, TP.HCM",active,manufacturing
Điện thoại Mike,mike.phone@example.com,"=""0900000037""","77 Nguyễn Trãi, Q5, TP.HCM",lead,electronics
Phòng thí nghiệm November,nov.labs@example.com,"=""0900000038""","11 Lý Tự Trọng, Q1, TP.HCM",active,biotech
Sơn Oscar,oscar.paint@example.com,"=""0900000039""","18 Lê Thánh Tôn, Q1, TP.HCM",lead,construction
In ấn Papa,papa.print@example.com,"=""0900000040""","210 Cách Mạng Tháng 8, Q3, TP.HCM",inactive,printing
Phần mềm Quebec,quebec.soft@example.com,"=""0900000041""","71 Võ Thị Sáu, Q3, TP.HCM",lead,software
